Date and Time (UTC),Gym Occupancy
2023-10-21 16:0,9
2023-10-21 16:30,11
2023-10-21 17:0,10
2023-10-21 17:30,18
2023-10-21 18:0,19
2023-10-21 18:30,32
2023-10-21 19:0,27
2023-10-21 19:30,24
2023-10-21 20:0,23
2023-10-21 20:30,17
2023-10-21 21:0,12
2023-10-21 21:30,6
2023-10-21 22:0,4
2023-10-21 22:30,10
2023-10-21 23:0,13
2023-10-21 23:30,11
2023-10-22 0:0,9
2023-10-22 0:30,0
2023-10-22 1:0,0
2023-10-22 1:30,0
2023-10-22 11:0,0
2023-10-22 11:30,3
2023-10-22 12:0,3
2023-10-22 12:30,4
2023-10-22 13:0,8
2023-10-22 13:30,12
2023-10-22 14:0,16
2023-10-22 14:30,24
2023-10-22 15:0,21
2023-10-22 15:30,15
2023-10-22 16:0,13
2023-10-22 16:30,9
2023-10-22 17:0,9
2023-10-22 17:30,15
2023-10-22 18:0,23
2023-10-22 18:30,23
2023-10-22 19:0,25
2023-10-22 19:30,29
2023-10-22 20:0,23
2023-10-22 20:30,24
2023-10-22 21:0,19
2023-10-22 21:30,7
2023-10-22 22:0,8
2023-10-22 22:30,16
2023-10-22 23:0,18
2023-10-22 23:30,22
2023-10-23 0:0,18
2023-10-23 0:30,1
2023-10-23 1:0,1
2023-10-23 1:30,1
2023-10-23 11:0,0
2023-10-23 11:30,5
2023-10-23 12:0,11
2023-10-23 12:30,11
2023-10-23 13:0,6
2023-10-23 13:30,4
2023-10-23 14:0,5
2023-10-23 14:30,10
2023-10-23 15:0,15
2023-10-23 15:30,15
2023-10-23 16:0,7
2023-10-23 16:30,5
2023-10-23 17:0,3
2023-10-23 17:30,7
2023-10-23 18:0,6
2023-10-23 18:30,7
2023-10-23 19:0,17
2023-10-23 19:30,24
2023-10-23 20:0,31
2023-10-23 20:30,34
2023-10-23 21:0,34
2023-10-23 21:30,37
2023-10-23 22:0,34
2023-10-23 22:30,32
2023-10-23 23:0,35
2023-10-23 23:30,30
2023-10-24 0:0,28
2023-10-24 0:30,18
2023-10-24 1:0,16
2023-10-24 1:30,11
2023-10-24 18:0,8
2023-10-24 18:30,11
2023-10-24 19:0,24
2023-10-24 19:30,30
2023-10-24 20:0,37
2023-10-24 20:30,45
2023-10-24 21:0,33
2023-10-24 21:30,42
2023-10-24 22:0,45
2023-10-24 22:30,40
2023-10-24 23:0,41
2023-10-24 23:30,38
2023-10-25 0:0,34
2023-10-25 0:30,29
2023-10-25 1:0,17
2023-10-25 1:30,10
2023-10-25 11:0,0
2023-10-25 11:30,8
2023-10-25 12:0,17
2023-10-25 12:30,15
2023-10-25 13:0,12
2023-10-25 13:30,14
2023-10-25 14:0,14
2023-10-25 14:30,20
2023-10-25 15:0,23
2023-10-25 15:30,25
2023-10-25 16:0,23
2023-10-25 16:30,24
2023-10-25 17:0,24
2023-10-25 17:30,23
2023-10-25 18:0,23
2023-10-25 18:30,18
2023-10-25 19:0,24
2023-10-25 19:30,28
2023-10-25 20:0,34
2023-10-25 20:30,43
2023-10-25 21:0,42
2023-10-25 21:30,45
2023-10-25 22:0,43
2023-10-25 22:30,40
2023-10-25 23:0,49
2023-10-25 23:30,46
2023-10-26 0:0,34
2023-10-26 0:30,29
2023-10-26 1:0,18
2023-10-26 1:30,12
2023-10-26 11:0,0
2023-10-26 11:30,3
2023-10-26 12:0,5
2023-10-26 12:30,12
2023-10-26 13:0,12
2023-10-26 13:30,11
2023-10-26 14:0,9
2023-10-26 14:30,9
2023-10-26 15:0,9
2023-10-26 15:30,5
2023-10-26 16:0,10
2023-10-26 16:30,13
2023-10-26 17:0,11
2023-10-26 17:30,10
2023-10-26 18:0,7
2023-10-26 18:30,14
2023-10-26 19:0,23
2023-10-26 19:30,26
2023-10-26 20:0,35
2023-10-26 20:30,35
2023-10-26 21:0,51
2023-10-26 21:30,58
2023-10-26 22:0,56
2023-10-26 22:30,50
2023-10-26 23:0,49
2023-10-26 23:30,41
2023-10-27 0:0,31
2023-10-27 0:30,28
2023-10-27 1:0,12
2023-10-27 1:30,5
2023-10-27 11:0,0
2023-10-27 11:30,11
2023-10-27 12:0,16
2023-10-27 12:30,19
2023-10-27 13:0,23
2023-10-27 13:30,23
2023-10-27 14:0,19
2023-10-27 14:30,20
2023-10-27 15:0,23
2023-10-27 15:30,21
2023-10-27 16:0,24
2023-10-27 16:30,30
2023-10-27 17:0,32
2023-10-27 17:30,35
2023-10-27 18:0,29
2023-10-27 18:30,32
2023-10-27 19:0,28
2023-10-27 19:30,25
2023-10-27 20:0,32
2023-10-27 20:30,34
2023-10-27 21:0,33
2023-10-27 21:30,36
2023-10-27 22:0,32
2023-10-27 22:30,27
2023-10-27 23:0,22
2023-10-27 23:30,29
2023-10-28 0:0,27
2023-10-28 0:30,28
2023-10-28 1:0,21
2023-10-28 1:30,12
2023-10-28 11:0,2
2023-10-28 11:30,5
2023-10-28 12:0,5
2023-10-28 12:30,7
2023-10-28 13:0,8
2023-10-28 13:30,16
2023-10-28 14:0,26
2023-10-28 14:30,25
2023-10-28 15:0,34
2023-10-28 15:30,26
2023-10-28 16:0,17
2023-10-28 16:30,22
2023-10-28 17:0,16
2023-10-28 17:30,14
2023-10-28 18:0,11
2023-10-28 18:30,18
2023-10-28 19:0,26
2023-10-28 19:30,36
2023-10-28 20:0,34
2023-10-28 20:30,22
2023-10-28 21:0,31
2023-10-28 21:30,18
2023-10-28 22:0,17
2023-10-28 22:30,18
2023-10-28 23:0,6
2023-10-28 23:30,6
2023-10-29 0:0,0
2023-10-29 0:30,0
2023-10-29 1:0,0
2023-10-29 1:30,0
2023-10-29 11:0,0
2023-10-29 11:30,3
2023-10-29 12:0,8
2023-10-29 12:30,14
2023-10-29 13:0,18
2023-10-29 13:30,20
2023-10-29 14:0,18
2023-10-29 14:30,34
2023-10-29 15:0,36
2023-10-29 15:30,35
2023-10-29 16:0,30
2023-10-29 16:30,33
2023-10-29 17:0,38
2023-10-29 17:30,51
2023-10-29 18:0,46
2023-10-29 18:30,39
2023-10-29 19:0,33
2023-10-29 19:30,23
2023-10-29 20:0,26
2023-10-29 20:30,29
2023-10-29 21:0,29
2023-10-29 21:30,28
2023-10-29 22:0,26
2023-10-29 22:30,24
2023-10-29 23:0,22
2023-10-29 23:30,15
2023-10-30 0:0,9
2023-10-30 0:30,4
2023-10-30 1:0,1
2023-10-30 1:30,1
2023-10-30 11:0,0
2023-10-30 11:30,5
2023-10-30 12:0,14
2023-10-30 12:30,10
2023-10-30 13:0,17
2023-10-30 13:30,18
2023-10-30 14:0,13
2023-10-30 14:30,12
2023-10-30 15:0,7
2023-10-30 15:30,10
2023-10-30 16:0,17
2023-10-30 16:30,20
2023-10-30 17:0,22
2023-10-30 17:30,21
2023-10-30 18:0,18
2023-10-30 18:30,15
2023-10-30 19:0,22
2023-10-30 19:30,26
2023-10-30 20:0,26
2023-10-30 20:30,31
2023-10-30 21:0,38
2023-10-30 21:30,43
2023-10-30 22:0,49
2023-10-30 22:30,40
2023-10-30 23:0,35
2023-10-30 23:30,33
2023-10-31 0:0,28
2023-10-31 0:30,24
2023-10-31 1:0,19
2023-10-31 1:30,13
2023-10-31 18:0,8
2023-10-31 18:30,12
2023-10-31 19:0,16
2023-10-31 19:30,21
2023-10-31 20:0,17
2023-10-31 20:30,24
2023-10-31 21:0,21
2023-10-31 21:30,32
2023-10-31 22:0,35
2023-10-31 22:30,31
2023-10-31 23:0,33
2023-10-31 23:30,26
2023-11-1 0:0,22
2023-11-1 0:30,18
2023-11-1 1:0,11
2023-11-1 1:30,8
2023-11-1 11:0,0
2023-11-1 11:30,6
2023-11-1 12:0,11
2023-11-1 12:30,12
2023-11-1 13:0,13
2023-11-1 13:30,11
2023-11-1 14:0,8
2023-11-1 14:30,8
2023-11-1 15:0,7
2023-11-1 15:30,5
2023-11-1 16:0,5
2023-11-1 16:30,5
2023-11-1 17:0,5
2023-11-1 17:30,10
2023-11-1 18:0,11
2023-11-1 18:30,15
2023-11-1 19:0,18
2023-11-1 19:30,15
2023-11-1 20:0,16
2023-11-1 20:30,23
2023-11-1 21:0,22
2023-11-1 21:30,21
2023-11-1 22:0,35
2023-11-1 22:30,44
2023-11-1 23:0,51
2023-11-1 23:30,46
2023-11-2 0:0,30
2023-11-2 0:30,23
2023-11-2 1:0,14
2023-11-2 1:30,4
2023-11-2 11:0,0
2023-11-2 11:30,1
2023-11-2 12:0,4
2023-11-2 12:30,5
2023-11-2 13:0,4
2023-11-2 13:30,8
2023-11-2 14:0,16
2023-11-2 14:30,21
2023-11-2 15:0,19
2023-11-2 15:30,8
2023-11-2 16:0,9
2023-11-2 16:30,7
2023-11-2 17:0,12
2023-11-2 17:30,22
2023-11-2 18:0,26
2023-11-2 18:30,27
2023-11-2 19:0,27
2023-11-2 19:30,30
2023-11-2 20:0,28
2023-11-2 20:30,37
2023-11-2 21:0,35
2023-11-2 21:30,34
2023-11-2 22:0,37
2023-11-2 22:30,38
2023-11-2 23:0,38
2023-11-2 23:30,30
2023-11-3 0:0,22
2023-11-3 0:30,21
2023-11-3 1:0,17
2023-11-3 1:30,11
2023-11-3 11:0,0
2023-11-3 11:30,4
2023-11-3 12:0,5
2023-11-3 12:30,10
2023-11-3 13:0,7
2023-11-3 13:30,8
2023-11-3 14:0,11
2023-11-3 14:30,12
2023-11-3 15:0,16
2023-11-3 15:30,18
2023-11-3 16:0,17
2023-11-3 16:30,17
2023-11-3 17:0,17
2023-11-3 17:30,16
2023-11-3 18:0,19
2023-11-3 18:30,28
2023-11-3 19:0,28
2023-11-3 19:30,27
2023-11-3 20:0,22
2023-11-3 20:30,22
2023-11-3 21:0,29
2023-11-3 21:30,35
2023-11-3 22:0,38
2023-11-3 22:30,35
2023-11-3 23:0,25
2023-11-3 23:30,21
2023-11-4 0:0,14
2023-11-4 0:30,16
2023-11-4 1:0,13
2023-11-4 1:30,12
2023-11-4 11:0,0
2023-11-4 11:30,5
2023-11-4 12:0,5
2023-11-4 12:30,7
2023-11-4 13:0,8
2023-11-4 13:30,7
2023-11-4 14:0,15
2023-11-4 14:30,14
2023-11-4 15:0,14
2023-11-4 15:30,16
2023-11-4 16:0,12
2023-11-4 16:30,13
2023-11-4 17:0,15
2023-11-4 17:30,20
2023-11-4 18:0,17
2023-11-4 18:30,13
2023-11-4 19:0,19
2023-11-4 19:30,20
2023-11-4 20:0,17
2023-11-4 20:30,13
2023-11-4 21:0,14
2023-11-4 21:30,19
2023-11-4 22:0,26
2023-11-4 22:30,29
2023-11-4 23:0,31
2023-11-4 23:30,25
2023-11-5 0:0,8
2023-11-5 0:30,7
2023-11-5 1:0,1
2023-11-5 1:30,0
2023-11-5 11:0,0
2023-11-5 11:30,0
2023-11-5 12:0,0
2023-11-5 12:30,5
2023-11-5 13:0,8
2023-11-5 13:30,11
2023-11-5 14:0,13
2023-11-5 14:30,19
2023-11-5 15:0,20
2023-11-5 15:30,21
2023-11-5 16:0,24
2023-11-5 16:30,26
2023-11-5 17:0,33
2023-11-5 17:30,23
2023-11-5 18:0,24
2023-11-5 18:30,19
2023-11-5 19:0,14
2023-11-5 19:30,14
2023-11-5 20:0,22
2023-11-5 20:30,27
2023-11-5 21:0,32
2023-11-5 21:30,29
2023-11-5 22:0,19
2023-11-5 22:30,15
2023-11-5 23:0,16
2023-11-5 23:30,14
2023-11-6 0:0,16
2023-11-6 0:30,10
2023-11-6 1:0,6
2023-11-6 1:30,5
2023-11-6 11:0,0
2023-11-6 11:30,0
2023-11-6 12:0,0
2023-11-6 12:30,6
2023-11-6 13:0,14
2023-11-6 13:30,15
2023-11-6 14:0,20
2023-11-6 14:30,16
2023-11-6 15:0,13
2023-11-6 15:30,9
2023-11-6 16:0,4
2023-11-6 16:30,5
2023-11-6 17:0,5
2023-11-6 17:30,10
2023-11-6 18:0,10
2023-11-6 18:30,15
2023-11-6 19:0,14
2023-11-6 19:30,13
2023-11-6 20:0,17
2023-11-6 20:30,16
2023-11-6 21:0,13
2023-11-6 21:30,15
2023-11-6 22:0,20
2023-11-6 22:30,19
2023-11-6 23:0,28
2023-11-6 23:30,42
2023-11-7 0:0,51
2023-11-7 0:30,48
2023-11-7 1:0,42
2023-11-7 1:30,26
2023-11-7 18:0,3
2023-11-7 18:30,4
2023-11-7 19:0,7
2023-11-7 19:30,11
2023-11-7 20:0,26
2023-11-7 20:30,31
2023-11-7 21:0,36
2023-11-7 21:30,34
2023-11-7 22:0,36
2023-11-7 22:30,42
2023-11-7 23:0,49
2023-11-7 23:30,45
2023-11-8 0:0,26
2023-11-8 0:30,11
2023-11-8 1:0,14
2023-11-8 1:30,13
2023-11-8 11:0,0
2023-11-8 11:30,0
2023-11-8 12:0,1
2023-11-8 12:30,7
2023-11-8 13:0,10
2023-11-8 13:30,15
2023-11-8 14:0,11
2023-11-8 14:30,12
2023-11-8 15:0,13
2023-11-8 15:30,7
2023-11-8 16:0,10
2023-11-8 16:30,13
2023-11-8 17:0,12
2023-11-8 17:30,13
2023-11-8 18:0,12
2023-11-8 18:30,13
2023-11-8 19:0,18
2023-11-8 19:30,16
2023-11-8 20:0,18
2023-11-8 20:30,21
2023-11-8 21:0,28
2023-11-8 21:30,33
2023-11-8 22:0,25
2023-11-8 22:30,21
2023-11-8 23:0,31
2023-11-8 23:30,40
2023-11-9 0:0,49
2023-11-9 0:30,41
2023-11-9 1:0,28
2023-11-9 1:30,17
2023-11-9 11:0,0
2023-11-9 11:30,0
2023-11-9 12:0,0
2023-11-9 12:30,10
2023-11-9 13:0,9
2023-11-9 13:30,8
2023-11-9 14:0,10
2023-11-9 14:30,9
2023-11-9 15:0,10
2023-11-9 15:30,11
2023-11-9 16:0,13
2023-11-9 16:30,9
2023-11-9 17:0,9
2023-11-9 17:30,12
2023-11-9 18:0,10
2023-11-9 18:30,11
2023-11-9 19:0,12
2023-11-9 19:30,13
2023-11-9 20:0,24
2023-11-9 20:30,27
2023-11-9 21:0,32
2023-11-9 21:30,41
2023-11-9 22:0,34
2023-11-9 22:30,37
2023-11-9 23:0,33
2023-11-9 23:30,30
2023-11-10 0:0,26
2023-11-10 0:30,25
2023-11-10 1:0,23
2023-11-10 1:30,22
2023-11-10 11:0,0
2023-11-10 11:30,0
2023-11-10 12:0,0
2023-11-10 12:30,2
2023-11-10 13:0,4
2023-11-10 13:30,12
2023-11-10 14:0,15
2023-11-10 14:30,14
2023-11-10 15:0,14
2023-11-10 15:30,10
2023-11-10 16:0,5
2023-11-10 16:30,9
2023-11-10 17:0,11
2023-11-10 17:30,10
2023-11-10 18:0,15
2023-11-10 18:30,19
2023-11-10 19:0,22
2023-11-10 19:30,25
2023-11-10 20:0,30
2023-11-10 20:30,38
2023-11-10 21:0,48
2023-11-10 21:30,35
2023-11-10 22:0,27
2023-11-10 22:30,43
2023-11-10 23:0,42
2023-11-10 23:30,40
2023-11-11 0:0,45
2023-11-11 0:30,39
2023-11-11 1:0,30
2023-11-11 1:30,25
2023-11-11 11:0,0
2023-11-11 11:30,0
2023-11-11 12:0,0
2023-11-11 12:30,0
2023-11-11 13:0,0
2023-11-11 13:30,0
2023-11-11 14:0,0
2023-11-11 14:30,0
2023-11-11 15:0,0
2023-11-11 15:30,0
2023-11-11 16:0,0
2023-11-11 16:30,0
2023-11-11 17:0,0
2023-11-11 17:30,0
2023-11-11 18:0,0
2023-11-11 18:30,0
2023-11-11 19:0,0
2023-11-11 19:30,0
2023-11-11 20:0,0
2023-11-11 20:30,0
2023-11-11 21:0,0
2023-11-11 21:30,0
2023-11-11 22:0,0
2023-11-11 22:30,0
2023-11-11 23:0,0
2023-11-11 23:30,0
2023-11-12 0:0,0
2023-11-12 0:30,0
2023-11-12 1:0,0
2023-11-12 1:30,0
2023-11-12 11:0,0
2023-11-12 11:30,0
2023-11-12 12:0,0
2023-11-12 12:30,4
2023-11-12 13:0,9
2023-11-12 13:30,10
2023-11-12 14:0,12
2023-11-12 14:30,16
2023-11-12 15:0,21
2023-11-12 15:30,26
2023-11-12 16:0,34
2023-11-12 16:30,35
2023-11-12 17:0,27
2023-11-12 17:30,31
2023-11-12 18:0,32
2023-11-12 18:30,37
2023-11-12 19:0,32
2023-11-12 19:30,27
2023-11-12 20:0,25
2023-11-12 20:30,20
2023-11-12 21:0,19
2023-11-12 21:30,21
2023-11-12 22:0,22
2023-11-12 22:30,24
2023-11-12 23:0,38
2023-11-12 23:30,44
2023-11-13 0:0,44
2023-11-13 0:30,39
2023-11-13 1:0,24
2023-11-13 1:30,14
2023-11-13 11:0,0
2023-11-13 11:30,0
2023-11-13 12:0,0
2023-11-13 12:30,1
2023-11-13 13:0,3
2023-11-13 13:30,7
2023-11-13 14:0,14
2023-11-13 14:30,18
2023-11-13 15:0,24
2023-11-13 15:30,21
2023-11-13 16:0,19
2023-11-13 16:30,22
2023-11-13 17:0,23
2023-11-13 17:30,22
2023-11-13 18:0,18
2023-11-13 18:30,22
2023-11-13 19:0,17
2023-11-13 19:30,17
2023-11-13 20:0,19
2023-11-13 20:30,14
2023-11-13 21:0,13
2023-11-13 21:30,16
2023-11-13 22:0,16
2023-11-13 22:30,17
2023-11-13 23:0,21
2023-11-13 23:30,30
2023-11-14 0:0,31
2023-11-14 0:30,34
2023-11-14 1:0,25
2023-11-14 1:30,14
2023-11-14 18:0,3
2023-11-14 18:30,5
2023-11-14 19:0,11
2023-11-14 19:30,17
2023-11-14 20:0,27
2023-11-14 20:30,25
2023-11-14 21:0,25
2023-11-14 21:30,27
2023-11-14 22:0,27
2023-11-14 22:30,37
2023-11-14 23:0,43
2023-11-14 23:30,50
2023-11-15 0:0,44
2023-11-15 0:30,30
2023-11-15 1:0,23
2023-11-15 1:30,13
2023-11-15 11:0,0
2023-11-15 11:30,0
2023-11-15 12:0,0
2023-11-15 12:30,8
2023-11-15 13:0,14
2023-11-15 13:30,20
2023-11-15 14:0,26
2023-11-15 14:30,23
2023-11-15 15:0,25
2023-11-15 15:30,33
2023-11-15 16:0,32
2023-11-15 16:30,28
2023-11-15 17:0,19
2023-11-15 17:30,21
2023-11-15 18:0,20
2023-11-15 18:30,25
2023-11-15 19:0,35
2023-11-15 19:30,31
2023-11-15 20:0,33
2023-11-15 20:30,32
2023-11-15 21:0,23
2023-11-15 21:30,19
2023-11-15 22:0,24
2023-11-15 22:30,29
2023-11-15 23:0,31
2023-11-15 23:30,44
2023-11-16 0:0,43
2023-11-16 0:30,33
2023-11-16 1:0,35
2023-11-16 1:30,23
2023-11-16 11:0,0
2023-11-16 11:30,0
2023-11-16 12:0,0
2023-11-16 12:30,6
2023-11-16 13:0,10
2023-11-16 13:30,8
2023-11-16 14:0,13
2023-11-16 14:30,17
2023-11-16 15:0,20
2023-11-16 15:30,22
2023-11-16 16:0,18
2023-11-16 16:30,8
2023-11-16 17:0,14
2023-11-16 17:30,17
2023-11-16 18:0,18
2023-11-16 18:30,14
2023-11-16 19:0,12
2023-11-16 19:30,17
2023-11-16 20:0,27
2023-11-16 20:30,29
2023-11-16 21:0,34
2023-11-16 21:30,35
2023-11-16 22:0,36
2023-11-16 22:30,43
2023-11-16 23:0,43
2023-11-16 23:30,40
2023-11-17 0:0,38
2023-11-17 0:30,24
2023-11-17 1:0,22
2023-11-17 1:30,14
2023-11-17 11:0,0
2023-11-17 11:30,0
2023-11-17 12:0,0
2023-11-17 12:30,4
2023-11-17 13:0,11
2023-11-17 13:30,20
2023-11-17 14:0,22
2023-11-17 14:30,22
2023-11-17 15:0,17
2023-11-17 15:30,2
2023-11-17 16:0,8
2023-11-17 16:30,16
2023-11-17 17:0,19
2023-11-17 17:30,23
2023-11-17 18:0,25
2023-11-17 18:30,22
2023-11-17 19:0,20
2023-11-17 19:30,20
2023-11-17 20:0,24
2023-11-17 20:30,27
2023-11-17 21:0,32
2023-11-17 21:30,31
2023-11-17 22:0,22
2023-11-17 22:30,26
2023-11-17 23:0,32
2023-11-17 23:30,39
2023-11-18 0:0,42
2023-11-18 0:30,34
2023-11-18 1:0,27
2023-11-18 1:30,23
2023-11-18 11:0,0
2023-11-18 11:30,0
2023-11-18 12:0,0
2023-11-18 12:30,6
2023-11-18 13:0,10
2023-11-18 13:30,15
2023-11-18 14:0,19
2023-11-18 14:30,23
2023-11-18 15:0,30
2023-11-18 15:30,37
2023-11-18 16:0,32
2023-11-18 16:30,31
2023-11-18 17:0,30
2023-11-18 17:30,20
2023-11-18 18:0,23
2023-11-18 18:30,27
2023-11-18 19:0,33
2023-11-18 19:30,35
2023-11-18 20:0,26
2023-11-18 20:30,27
2023-11-18 21:0,28
2023-11-18 21:30,23
2023-11-18 22:0,27
2023-11-18 22:30,21
2023-11-18 23:0,15
2023-11-18 23:30,13
2023-11-19 0:0,7
2023-11-19 0:30,11
2023-11-19 1:0,10
2023-11-19 1:30,5
2023-11-19 11:0,0
2023-11-19 11:30,0
2023-11-19 12:0,0
2023-11-19 12:30,6
2023-11-19 13:0,9
2023-11-19 13:30,8
2023-11-19 14:0,15
2023-11-19 14:30,18
2023-11-19 15:0,35
2023-11-19 15:30,50
2023-11-19 16:0,36
2023-11-19 16:30,32
2023-11-19 17:0,21
2023-11-19 17:30,22
2023-11-19 18:0,22
2023-11-19 18:30,22
2023-11-19 19:0,33
2023-11-19 19:30,30
2023-11-19 20:0,31
2023-11-19 20:30,30
2023-11-19 21:0,22
2023-11-19 21:30,26
2023-11-19 22:0,20
2023-11-19 22:30,22
2023-11-19 23:0,23
2023-11-19 23:30,23
2023-11-20 0:0,23
2023-11-20 0:30,18
2023-11-20 1:0,13
2023-11-20 1:30,6
2023-11-20 11:0,0
2023-11-20 11:30,0
2023-11-20 12:0,0
2023-11-20 12:30,13
2023-11-20 13:0,16
2023-11-20 13:30,12
2023-11-20 14:0,11
2023-11-20 14:30,7
2023-11-20 15:0,17
2023-11-20 15:30,17
2023-11-20 16:0,13
2023-11-20 16:30,19
2023-11-20 17:0,17
2023-11-20 17:30,19
2023-11-20 18:0,17
2023-11-20 18:30,26
2023-11-20 19:0,23
2023-11-20 19:30,19
2023-11-20 20:0,22
2023-11-20 20:30,27
2023-11-20 21:0,34
2023-11-20 21:30,30
2023-11-20 22:0,25
2023-11-20 22:30,29
2023-11-20 23:0,35
2023-11-20 23:30,41
2023-11-21 0:0,45
2023-11-21 0:30,40
2023-11-21 1:0,37
2023-11-21 1:30,29
2023-11-21 18:0,5
2023-11-21 18:30,8
2023-11-21 19:0,13
2023-11-21 19:30,16
2023-11-21 20:0,19
2023-11-21 20:30,22
2023-11-21 21:0,27
2023-11-21 21:30,25
2023-11-21 22:0,38
2023-11-21 22:30,42
2023-11-21 23:0,40
2023-11-21 23:30,44
2023-11-22 0:0,38
2023-11-22 0:30,24
2023-11-22 1:0,19
2023-11-22 1:30,15
2023-11-22 11:0,0
2023-11-22 11:30,0
2023-11-22 12:0,0
2023-11-22 12:30,9
2023-11-22 13:0,18
2023-11-22 13:30,19
2023-11-22 14:0,18
2023-11-22 14:30,11
2023-11-22 15:0,7
2023-11-22 15:30,7
2023-11-22 16:0,9
2023-11-22 16:30,9
2023-11-22 17:0,13
2023-11-22 17:30,16
2023-11-22 18:0,14
2023-11-22 18:30,10
2023-11-22 19:0,11
2023-11-22 19:30,16
2023-11-22 20:0,24
2023-11-22 20:30,31
2023-11-22 21:0,42
2023-11-22 21:30,40
2023-11-22 22:0,51
2023-11-22 22:30,59
2023-11-22 23:0,52
2023-11-22 23:30,60
